"meth","lhs","op","rhs","est","se","2.5%","97.5%"
"unwt","LONELY__1_x_FRIEND__1","~~","GENDER",0.00520581809814688,0.0122054313592439,-0.019012232304601,0.0299925096935194
"unwt","LONELY__1_x_FRIEND__1","~~","INCOME",0.0071097012887861,0.0107358123774417,-0.013463862394225,0.0273300114944024
"unwt","LONELY__1_x_FRIEND__1","~~","LONELY__1_x_FAMILY__1",0.0379540171168161,0.0151025954166614,0.0076689407708023,0.0687501349014147
"unwt","LONELY__1_x_FRIEND__1","~~","LONELY__2",0.0173346584902052,0.0124075499066597,-0.0068437006777145,0.0411060595388297
"unwt","LONELY__1_x_FRIEND__1","~~","LONELY__2_x_FAMILY__2",-0.011494863519281,0.00963611774247287,-0.0302507181594504,0.00759810571611018
"unwt","LONELY__1_x_FRIEND__1","~~","LONELY__2_x_FRIEND__2",-0.0114903285246295,0.015979089211504,-0.0457206729363888,0.0189335658532928
"unwt","LONELY__1_x_FRIEND__1","~~","RACE",-0.00446004835781937,0.0103231537780438,-0.0249971716944479,0.0156686197263704
"unwt","LONELY__2","~~","LONELY__2_x_FAMILY__2",-0.0171638640196475,0.00723746353672313,-0.0304126937763202,-0.00269506205873689
"unwt","LONELY__2","~~","LONELY__2_x_FRIEND__2",0.011516277137927,0.0109039326800961,-0.00974230775439505,0.0340580756290654
"unwt","LONELY__2_x_FRIEND__2","~~","LONELY__2_x_FAMILY__2",0.036318702742363,0.0159926371565102,0.00367988669459125,0.0679862013348936
"unwt","RACE","~~","AGE",-0.00805702663631613,0.00728418330474602,-0.0222424737210809,0.00651888321054687
"unwt","RACE","~~","FAMILY__1",-0.0111706786703801,0.00755386416823363,-0.0256177754033373,0.0041263274210274
"unwt","RACE","~~","FRIEND__1",-0.0146131646824159,0.0141725750644705,-0.0429163227873035,0.0133151099552407
"unwt","RACE","~~","INCOME",-0.00135115623679813,0.00622990460718683,-0.0132200299108202,0.0116073768139451
"unwt","RACE","~~","LONELY__2",-0.00726023661276893,0.00728927517994171,-0.0225601202136894,0.00571309142051438
"unwt","RACE","~~","LONELY__2_x_FAMILY__2",0.00337742260614468,0.00699254200577723,-0.0102891310913782,0.017275409212123
"unwt","RACE","~~","LONELY__2_x_FRIEND__2",0.0104645689488251,0.00992844436765602,-0.00970770005624291,0.0299640165900382
"dr","FAMILY__2","~","AGE",-0.00760483667804427,0.0439795640298559,-0.091423960642071,0.0775223973131065
"dr","FAMILY__2","~","FAMILY__1",-0.0429835157077271,0.0615381830590027,-0.157112752529877,0.077190785638916
"dr","FAMILY__2","~","FRIEND__1",0.0369359332646806,0.0343523072621192,-0.0326613732583929,0.102025288960927
"dr","FAMILY__2","~","GENDER",0.0122511473102122,0.0444601496634786,-0.0709429508945022,0.094890837624677
"dr","FAMILY__2","~","INCOME",-0.0162907148206266,0.0507494323799704,-0.116163196365184,0.0886013186229787
"dr","FAMILY__2","~","LONELY__1",0.00392819185236808,0.044378659305905,-0.0842020684894359,0.0911423328119506
"dr","FAMILY__2","~","LONELY__1_x_FAMILY__1",0.0440055936900465,0.0798800042325313,-0.111911966381784,0.197697623912481
"dr","FAMILY__2","~","LONELY__1_x_FRIEND__1",-0.0682267012463474,0.047114700786567,-0.161514887981537,0.0235688277882592
"dr","FAMILY__2","~","RACE",0.0389032056364282,0.0557883806399984,-0.0724508235031966,0.143348179338299
